"YEAR","JURISDICTION","LOCATION","FINES","ARRESTS","CHARGES"
"2008","NSW","Unknown",590408,0,0
"2008","NT","Unknown",23865,0,0
"2008","QLD","Unknown",502886,0,0
"2008","SA","Unknown",119500,0,0
"2008","TAS","Unknown",59962,0,0
"2008","VIC","Unknown",1114036,0,0
"2008","WA","Unknown",228822,0,0
"2009","NSW","Unknown",513616,0,0
"2009","NT","Unknown",19893,0,0
"2009","QLD","Unknown",475870,0,0
"2009","SA","Unknown",107676,0,0
"2009","TAS","Unknown",67768,0,0
"2009","VIC","Unknown",1136590,0,0
"2009","WA","Unknown",254858,0,0
"2010","ACT","Unknown",58705,0,0
"2010","NSW","Unknown",390746,0,0
"2010","NT","Unknown",26775,0,0
"2010","QLD","Unknown",440622,0,0
"2010","SA","Unknown",91335,0,0
"2010","TAS","Unknown",37376,0,0
"2010","VIC","Unknown",1172460,0,0
"2010","WA","Unknown",300344,0,0
"2011","ACT","Unknown",56719,0,0
"2011","NSW","Unknown",389649,0,0
"2011","NT","Unknown",24633,0,0
"2011","QLD","Unknown",588714,0,0
"2011","SA","Unknown",61859,0,0
"2011","TAS","Unknown",24427,0,0
"2011","VIC","Unknown",1151555,0,0
"2011","WA","Unknown",558552,0,0
"2012","ACT","Unknown",54201,0,0
"2012","NSW","Unknown",432586,0,0
"2012","NT","Unknown",27730,0,0
"2012","QLD","Unknown",653679,0,0
"2012","SA","Unknown",54773,0,0
"2012","TAS","Unknown",7410,0,0
"2012","VIC","Unknown",1185037,0,0
"2012","WA","Unknown",588746,0,0
"2013","ACT","Unknown",51948,0,0
"2013","NSW","Unknown",426904,0,0
"2013","NT","Unknown",24536,0,0
"2013","QLD","Unknown",762905,0,0
"2013","SA","Unknown",74391,0,0
"2013","TAS","Unknown",7517,0,0
"2013","VIC","Unknown",1015986,0,0
"2013","WA","Unknown",543491,0,0
"2014","ACT","Unknown",45120,0,0
"2014","NSW","Unknown",468465,0,0
"2014","NT","Unknown",22871,0,0
"2014","QLD","Unknown",1004090,0,0
"2014","SA","Unknown",100562,0,0
"2014","TAS","Unknown",9250,0,0
"2014","VIC","Unknown",1307924,0,0
"2014","WA","Unknown",711518,0,0
"2015","ACT","Unknown",50640,0,0
"2015","NSW","Unknown",486571,0,0
"2015","NT","Unknown",24928,0,0
"2015","QLD","Unknown",1076622,0,0
"2015","SA","Unknown",85282,0,0
"2015","TAS","Unknown",15220,0,0
"2015","VIC","Unknown",1306201,0,0
"2015","WA","Unknown",752276,0,0
"2016","ACT","Unknown",55750,0,0
"2016","NSW","Unknown",494676,0,0
"2016","NT","Unknown",22239,0,0
"2016","QLD","Unknown",659305,0,0
"2016","SA","Unknown",182856,0,0
"2016","TAS","Unknown",15977,0,0
"2016","VIC","Unknown",1266642,0,0
"2016","WA","Unknown",567954,0,0
"2017","ACT","Unknown",52913,0,0
"2017","NSW","Unknown",478004,0,0
"2017","NSW","Unknown",253949,0,0
"2017","NT","Unknown",22556,0,0
"2017","QLD","Unknown",733717,0,0
"2017","SA","Unknown",162804,0,0
"2017","TAS","Unknown",13095,0,0
"2017","VIC","Unknown",1220180,0,0
"2017","WA","Unknown",646380,0,0
"2017","WA","Unknown",107803,0,0
"2018","ACT","Unknown",66449,0,0
"2018","NSW","Unknown",444372,0,0
"2018","NSW","Unknown",237017,0,0
"2018","NT","Unknown",27639,0,0
"2018","NT","Unknown",9813,0,0
"2018","QLD","Unknown",859691,0,0
"2018","QLD","Unknown",161732,0,0
"2018","SA","Unknown",174731,0,0
"2018","TAS","Unknown",8609,0,0
"2018","VIC","Unknown",1600565,0,0
"2018","WA","Unknown",573664,0,0
"2018","WA","Unknown",115534,0,0
"2019","ACT","Unknown",59330,0,0
"2019","NSW","Unknown",442556,0,0
"2019","NSW","Unknown",216237,0,0
"2019","NT","Unknown",27208,0,0
"2019","NT","Unknown",12292,0,0
"2019","QLD","Unknown",886731,0,0
"2019","QLD","Unknown",155049,0,0
"2019","SA","Unknown",202914,0,0
"2019","TAS","Unknown",6738,0,0
"2019","VIC","Unknown",1004679,0,0
"2019","WA","Unknown",580734,0,0
"2019","WA","Unknown",102262,0,0
"2020","ACT","Unknown",57612,0,0
"2020","NSW","Unknown",707453,0,0
"2020","NSW","Unknown",207863,0,0
"2020","NT","Unknown",33009,0,0
"2020","NT","Unknown",7912,0,0
"2020","QLD","Unknown",779069,0,0
"2020","QLD","Unknown",131789,0,0
"2020","SA","Unknown",175237,0,0
"2020","TAS","Unknown",5430,0,0
"2020","TAS","Unknown",35321,0,0
"2020","VIC","Unknown",937192,0,0
"2020","WA","Unknown",595363,0,0
"2020","WA","Unknown",100223,0,0
"2021","ACT","Unknown",113807,0,0
"2021","NSW","Unknown",1273155,0,0
"2021","NSW","Unknown",179465,0,0
"2021","NT","Unknown",31997,0,0
"2021","NT","Unknown",6651,0,0
"2021","QLD","Unknown",865513,0,0
"2021","QLD","Unknown",113413,0,0
"2021","SA","Unknown",202693,0,0
"2021","TAS","Unknown",4244,0,0
"2021","TAS","Unknown",34984,0,0
"2021","VIC","Unknown",1231672,0,0
"2021","WA","Unknown",734701,0,0
"2021","WA","Unknown",74843,0,0
"2022","NSW","Unknown",1053321,0,0
"2022","NSW","Unknown",164275,0,0
"2022","NT","Unknown",27390,0,0
"2022","NT","Unknown",6252,0,0
