"JURISDICTION","LOCATION","AGE_GROUP","FINES","ARRESTS","CHARGES","FINES_log"
"NSW","Major Cities of Australia","40-64",1888,0,10,3.276231957921833
"NSW","Major Cities of Australia","65 and over",285,0,0,2.4563660331290427
"NSW","Outer Regional Australia","0-16",2,0,0,0.47712125471966244
"NSW","Outer Regional Australia","17-25",347,0,1,2.5415792439465807
"NSW","Outer Regional Australia","26-39",639,0,1,2.8061799739838866
"NSW","Outer Regional Australia","40-64",732,0,1,2.8651039746411278
"NSW","Outer Regional Australia","65 and over",194,0,0,2.290034611362518
"NSW","Remote Australia","0-16",1,0,0,0.30102999566398114
"NSW","Remote Australia","17-25",28,0,0,1.462397997898956
"NSW","Remote Australia","26-39",55,0,0,1.7481880270062005
"NSW","Remote Australia","40-64",54,0,0,1.7403626894942439
"NSW","Remote Australia","65 and over",21,0,0,1.3424226808222062
"NSW","Unknown","0-16",2,0,0,0.47712125471966244
"NSW","Unknown","17-25",96,0,5,1.9867717342662448
"NSW","Unknown","26-39",136,0,2,2.1367205671564067
"NSW","Unknown","40-64",126,0,0,2.103803720955957
"NSW","Unknown","65 and over",26,0,0,1.4313637641589871
"NSW","Unknown","Unknown",28498,0,0,4.454829621338289
"NSW","Unknown","Unknown",2870,0,0,3.4580331924965058
"NSW","Unknown","Unknown",17764,0,0,4.249565211825346
"NSW","Very Remote Australia","17-25",2,0,0,0.47712125471966244
"NSW","Very Remote Australia","26-39",4,0,0,0.6989700043360187
"NSW","Very Remote Australia","40-64",5,0,0,0.7781512503836435
"NT","Unknown","0-16",3,0,0,0.6020599913279623
"NT","Unknown","0-16",0,1,1,0
"NT","Unknown","0-16",2,0,0,0.47712125471966244
"NT","Unknown","17-25",84,0,0,1.9294189257142926
"NT","Unknown","17-25",460,0,0,2.663700925389648
"NT","Unknown","17-25",0,0,4,0
"NT","Unknown","17-25",34,0,0,1.5440680443502754
"NT","Unknown","26-39",380,0,0,2.580924975675619
"NT","Unknown","26-39",1254,0,0,3.0986437258170567
"NT","Unknown","26-39",0,1,3,0
"NT","Unknown","26-39",46,0,0,1.6720978579357173
"NT","Unknown","40-64",511,0,0,2.7092699609758304
"NT","Unknown","40-64",1575,0,0,3.197556213153536
"NT","Unknown","40-64",0,0,1,0
"NT","Unknown","40-64",45,0,0,1.6627578316815739
"NT","Unknown","65 and over",83,0,0,1.9242792860618814
"NT","Unknown","65 and over",381,0,0,2.5820633629117085
"NT","Unknown","65 and over",0,0,1,0
"NT","Unknown","65 and over",5,0,0,0.7781512503836435
"NT","Unknown","Unknown",25,0,0,1.414973347970818
"NT","Unknown","Unknown",112,0,0,2.0530784434834195
"QLD","Unknown","0-16",602,0,0,2.780317312140151
"QLD","Unknown","0-16",748,0,0,2.874481817699466
"QLD","Unknown","0-16",4,0,0,0.6989700043360187
"QLD","Unknown","17-25",2530,0,0,3.403292145158254
"QLD","Unknown","17-25",5118,0,0,3.7091851295502454
"QLD","Unknown","17-25",1991,0,0,3.2992893340876797
"QLD","Unknown","26-39",6221,0,0,3.793930006772684
"QLD","Unknown","26-39",10612,0,0,4.025838164229699
