"YEAR","JURISDICTION","FINES","ARRESTS","CHARGES","DETECTION_STD"
"2008","NSW",590408,0,0,"Camera Issued"
"2008","NT",23865,0,0,"Camera Issued"
"2008","QLD",502886,0,0,"Camera Issued"
"2008","SA",119500,0,0,"Camera Issued"
"2008","TAS",59962,0,0,"Camera Issued"
"2008","VIC",1114036,0,0,"Camera Issued"
"2008","WA",228822,0,0,"Camera Issued"
"2009","NSW",513616,0,0,"Camera Issued"
"2009","NT",19893,0,0,"Camera Issued"
"2009","QLD",475870,0,0,"Camera Issued"
"2009","SA",107676,0,0,"Camera Issued"
"2009","TAS",67768,0,0,"Camera Issued"
"2009","VIC",1136590,0,0,"Camera Issued"
"2009","WA",254858,0,0,"Camera Issued"
"2010","ACT",58705,0,0,"Camera Issued"
"2010","NSW",390746,0,0,"Camera Issued"
"2010","NT",26775,0,0,"Camera Issued"
"2010","QLD",440622,0,0,"Camera Issued"
"2010","SA",91335,0,0,"Camera Issued"
"2010","TAS",37376,0,0,"Camera Issued"
"2010","VIC",1172460,0,0,"Camera Issued"
"2010","WA",300344,0,0,"Camera Issued"
"2011","ACT",56719,0,0,"Camera Issued"
"2011","NSW",389649,0,0,"Camera Issued"
"2011","NT",24633,0,0,"Camera Issued"
"2011","QLD",588714,0,0,"Camera Issued"
"2011","SA",61859,0,0,"Camera Issued"
"2011","TAS",24427,0,0,"Camera Issued"
"2011","VIC",1151555,0,0,"Camera Issued"
"2011","WA",558552,0,0,"Camera Issued"
"2012","ACT",54201,0,0,"Camera Issued"
"2012","NSW",432586,0,0,"Camera Issued"
"2012","NT",27730,0,0,"Camera Issued"
"2012","QLD",653679,0,0,"Camera Issued"
"2012","SA",54773,0,0,"Camera Issued"
"2012","TAS",7410,0,0,"Camera Issued"
"2012","VIC",1185037,0,0,"Camera Issued"
"2012","WA",588746,0,0,"Camera Issued"
"2013","ACT",51948,0,0,"Camera Issued"
"2013","NSW",426904,0,0,"Camera Issued"
"2013","NT",24536,0,0,"Camera Issued"
"2013","QLD",762905,0,0,"Camera Issued"
"2013","SA",74391,0,0,"Camera Issued"
"2013","TAS",7517,0,0,"Camera Issued"
"2013","VIC",1015986,0,0,"Camera Issued"
"2013","WA",543491,0,0,"Camera Issued"
"2014","ACT",45120,0,0,"Camera Issued"
"2014","NSW",468465,0,0,"Camera Issued"
"2014","NT",22871,0,0,"Camera Issued"
"2014","QLD",1004090,0,0,"Camera Issued"
"2014","SA",100562,0,0,"Camera Issued"
"2014","TAS",9250,0,0,"Camera Issued"
"2014","VIC",1307924,0,0,"Camera Issued"
"2014","WA",711518,0,0,"Camera Issued"
"2015","ACT",50640,0,0,"Camera Issued"
"2015","NSW",486571,0,0,"Camera Issued"
"2015","NT",24928,0,0,"Camera Issued"
"2015","QLD",1076622,0,0,"Camera Issued"
"2015","SA",85282,0,0,"Camera Issued"
"2015","TAS",15220,0,0,"Camera Issued"
"2015","VIC",1306201,0,0,"Camera Issued"
"2015","WA",752276,0,0,"Camera Issued"
"2016","ACT",55750,0,0,"Camera Issued"
"2016","NSW",494676,0,0,"Camera Issued"
"2016","NT",22239,0,0,"Camera Issued"
"2016","QLD",659305,0,0,"Camera Issued"
"2016","SA",182856,0,0,"Camera Issued"
"2016","TAS",15977,0,0,"Camera Issued"
"2016","VIC",1266642,0,0,"Camera Issued"
"2016","WA",567954,0,0,"Camera Issued"
"2017","ACT",52913,0,0,"Camera Issued"
"2017","NSW",478004,0,0,"Camera Issued"
"2017","NSW",253949,0,0,"Police Issued"
"2017","NT",22556,0,0,"Camera Issued"
"2017","QLD",733717,0,0,"Camera Issued"
"2017","SA",162804,0,0,"Camera Issued"
"2017","TAS",13095,0,0,"Camera Issued"
"2017","VIC",1220180,0,0,"Camera Issued"
"2017","WA",646380,0,0,"Camera Issued"
"2017","WA",107803,0,0,"Police Issued"
"2018","ACT",66449,0,0,"Camera Issued"
"2018","NSW",444372,0,0,"Camera Issued"
"2018","NSW",237017,0,0,"Police Issued"
"2018","NT",27639,0,0,"Camera Issued"
"2018","NT",9813,0,0,"Police Issued"
"2018","QLD",859691,0,0,"Camera Issued"
"2018","QLD",161732,0,0,"Police Issued"
"2018","SA",174731,0,0,"Camera Issued"
"2018","TAS",8609,0,0,"Camera Issued"
"2018","VIC",1600565,0,0,"Camera Issued"
"2018","WA",573664,0,0,"Camera Issued"
"2018","WA",115534,0,0,"Police Issued"
"2019","ACT",59330,0,0,"Camera Issued"
"2019","NSW",442556,0,0,"Camera Issued"
"2019","NSW",216237,0,0,"Police Issued"
"2019","NT",27208,0,0,"Camera Issued"
"2019","NT",12292,0,0,"Police Issued"
"2019","QLD",886731,0,0,"Camera Issued"
"2019","QLD",155049,0,0,"Police Issued"
"2019","SA",202914,0,0,"Camera Issued"
"2019","TAS",6738,0,0,"Camera Issued"
"2019","VIC",1004679,0,0,"Camera Issued"
"2019","WA",580734,0,0,"Camera Issued"
"2019","WA",102262,0,0,"Police Issued"
"2020","ACT",57612,0,0,"Camera Issued"
"2020","NSW",707453,0,0,"Camera Issued"
"2020","NSW",207863,0,0,"Police Issued"
"2020","NT",33009,0,0,"Camera Issued"
"2020","NT",7912,0,0,"Police Issued"
"2020","QLD",779069,0,0,"Camera Issued"
"2020","QLD",131789,0,0,"Police Issued"
"2020","SA",175237,0,0,"Camera Issued"
"2020","TAS",5430,0,0,"Camera Issued"
"2020","TAS",35321,0,0,"Police Issued"
"2020","VIC",937192,0,0,"Camera Issued"
"2020","WA",595363,0,0,"Camera Issued"
"2020","WA",100223,0,0,"Police Issued"
"2021","ACT",113807,0,0,"Camera Issued"
"2021","NSW",1273155,0,0,"Camera Issued"
"2021","NSW",179465,0,0,"Police Issued"
"2021","NT",31997,0,0,"Camera Issued"
"2021","NT",6651,0,0,"Police Issued"
"2021","QLD",865513,0,0,"Camera Issued"
"2021","QLD",113413,0,0,"Police Issued"
"2021","SA",202693,0,0,"Camera Issued"
"2021","TAS",4244,0,0,"Camera Issued"
"2021","TAS",34984,0,0,"Police Issued"
"2021","VIC",1231672,0,0,"Camera Issued"
"2021","WA",734701,0,0,"Camera Issued"
"2021","WA",74843,0,0,"Police Issued"
"2022","NSW",1053321,0,0,"Camera Issued"
"2022","NSW",164275,0,0,"Police Issued"
"2022","NT",27390,0,0,"Camera Issued"
"2022","NT",6252,0,0,"Police Issued"
"2022","QLD",777226,0,0,"Camera Issued"
"2022","QLD",72173,0,0,"Police Issued"
"2022","SA",157432,0,0,"Camera Issued"
"2022","SA",28764,0,0,"Police Issued"
"2022","TAS",14023,0,0,"Camera Issued"
"2022","TAS",28714,0,0,"Police Issued"
"2022","VIC",1255302,0,0,"Camera Issued"
"2022","VIC",122929,0,0,"Police Issued"
"2022","WA",775750,0,0,"Camera Issued"
"2022","WA",67791,0,0,"Police Issued"
"2024","SA",47,0,0,"Camera Issued"
"2024","SA",150,0,0,"Camera Issued"
"2024","SA",165,0,1,"Police Issued"
