"YEAR","LOCATION_UPDATED","FINE_COUNTS","ARREST_COUNTS","CHARGES_COUNTS","TOAL_OFFENCES"
"2008","Unknown",7,0,0,7
"2009","Unknown",7,0,0,7
"2010","Unknown",8,0,0,8
"2011","Unknown",8,0,0,8
"2012","Unknown",8,0,0,8
"2013","Unknown",8,0,0,8
"2014","Unknown",8,0,0,8
"2015","Unknown",8,0,0,8
"2016","Unknown",8,0,0,8
"2017","Unknown",10,0,0,10
"2018","Unknown",12,0,0,12
"2019","Unknown",12,0,0,12
"2020","Unknown",13,0,0,13
"2021","Unknown",13,0,0,13
"2022","Unknown",14,0,0,14
"2023","Inner Regional Area",242,0,351,593
"2023","Major Cities",440,0,929,1369
"2023","Outer Regional Area",233,0,81,314
"2023","Remote Area",107,0,15,122
"2023","Unknown",1176,146,874,2196
"2023","Very Remote Area",45,0,1,46
"2024","Inner Regional Area",387,14,466,867
"2024","Major Cities",589,74,1281,1944
"2024","Outer Regional Area",390,10,147,547
"2024","Remote Area",296,2,14,312
"2024","Unknown",1162,42,742,1946
"2024","Very Remote Area",94,2,9,105
