"YEAR","ACT+Max*(Max*(FINES PER 10K))","NSW+Max*(Max*(FINES PER 10K))","NT+Max*(Max*(FINES PER 10K))","QLD+Max*(Max*(FINES PER 10K))","SA+Max*(Max*(FINES PER 10K))","TAS+Max*(Max*(FINES PER 10K))","VIC+Max*(Max*(FINES PER 10K))","WA+Max*(Max*(FINES PER 10K))"
"2010",4171.64094255422,1687.6529484883742,4494.485756970439,2899.870611416996,1675.9761159411778,2085.283730479756,6040.86805984914,4042.625073525156
"2011",3936.687072280293,1644.2710731190846,4101.125466169419,3752.356719726589,1124.0224153971392,1346.2259159649045,5808.02018259967,7343.4936261517105
"2012",3663.541673707476,1788.7295639510123,4439.357069672132,4080.729498310722,982.3960397815423,409.6865151766462,5861.818739426796,7601.038008675893
"2013",3440.6750473566385,1735.3179211663307,3740.129874089205,4650.526983120691,1299.4696683855282,415.2327501919561,4903.546963933819,6255.068300492242
"2014",2916.556240021202,1870.3146315843685,3401.1450665476987,6086.046806233153,1734.4136984222255,508.56869526013975,6187.200171813583,7985.154609556579
"2015",3292.4807385975746,1902.3637476844592,3661.0906313795176,6414.764500849048,1454.8152949906603,825.2900986877779,6066.541484160449,8271.159307632513
"2016",3432.543591764358,1898.5364018936393,3190.811656168845,3839.398698702371,3075.8258283515056,845.3841717330454,5757.6625374331115,6129.546808492269
"2017",3293.087460091238,2754.533134984177,3178.69222096956,4176.504306475566,2706.0170833908155,689.2758261308967,5428.665621728544,8053.243153200868
"2018",4056.591679130674,2519.994970283994,5207.742366093776,5682.843917257341,2866.9147494396807,444.03754899938104,6958.760421412895,7270.7650466345185
"2019",3632.2340106401866,2402.776425259474,5469.929237117971,5690.44229863761,3294.470250339734,338.96940823728863,4289.21262037647,7121.566795578556
"2020",3567.770422160157,3314.3412911619475,5592.745462497266,4858.279858143848,2813.9989369440837,2013.329644378131,3951.44387885677,7162.011334244906
"2021",7064.019167266679,5128.795392268357,5199.305826483527,5092.901758354499,3193.106935755998,1891.1531174522368,5096.809300843556,8217.552835130033
"2022",,4186.392734851868,4534.573392640517,4315.505812526769,2852.800308881255,2020.0315740714482,5597.545453142427,8375.724586595918
"2023",4236.339232100597,2985.892697513921,5745.330078539588,4284.362350722659,3093.9308795886145,3052.603912439455,5154.046330026759,7830.913550171506
"2024",3992.229631777327,3009.6316613951285,6296.349676371165,3860.904410336118,2759.120159644835,3498.5584593709473,2967.8815564044075,4467.343335024531
