"YEAR","JURISDICTION","Max*(FINES PER 10K)"
"2010","ACT",4171.64094255422
"2010","NSW",1687.6529484883742
"2010","NT",4494.485756970439
"2010","QLD",2899.870611416996
"2010","SA",1675.9761159411778
"2010","TAS",2085.283730479756
"2010","VIC",6040.86805984914
"2010","WA",4042.625073525156
"2011","ACT",3936.687072280293
"2011","NSW",1644.2710731190846
"2011","NT",4101.125466169419
"2011","QLD",3752.356719726589
"2011","SA",1124.0224153971392
"2011","TAS",1346.2259159649045
"2011","VIC",5808.02018259967
"2011","WA",7343.4936261517105
"2012","ACT",3663.541673707476
"2012","NSW",1788.7295639510123
"2012","NT",4439.357069672132
"2012","QLD",4080.729498310722
"2012","SA",982.3960397815423
"2012","TAS",409.6865151766462
"2012","VIC",5861.818739426796
"2012","WA",7601.038008675893
"2013","ACT",3440.6750473566385
"2013","NSW",1735.3179211663307
"2013","NT",3740.129874089205
"2013","QLD",4650.526983120691
"2013","SA",1299.4696683855282
"2013","TAS",415.2327501919561
"2013","VIC",4903.546963933819
"2013","WA",6255.068300492242
"2014","ACT",2916.556240021202
"2014","NSW",1870.3146315843685
"2014","NT",3401.1450665476987
"2014","QLD",6086.046806233153
"2014","SA",1734.4136984222255
"2014","TAS",508.56869526013975
"2014","VIC",6187.200171813583
"2014","WA",7985.154609556579
"2015","ACT",3292.4807385975746
"2015","NSW",1902.3637476844592
"2015","NT",3661.0906313795176
"2015","QLD",6414.764500849048
"2015","SA",1454.8152949906603
"2015","TAS",825.2900986877779
"2015","VIC",6066.541484160449
"2015","WA",8271.159307632513
"2016","ACT",3432.543591764358
"2016","NSW",1898.5364018936393
"2016","NT",3190.811656168845
"2016","QLD",3839.398698702371
"2016","SA",3075.8258283515056
"2016","TAS",845.3841717330454
"2016","VIC",5757.6625374331115
"2016","WA",6129.546808492269
"2017","ACT",3293.087460091238
"2017","NSW",2754.533134984177
"2017","NT",3178.69222096956
"2017","QLD",4176.504306475566
"2017","SA",2706.0170833908155
"2017","TAS",689.2758261308967
"2017","VIC",5428.665621728544
"2017","WA",8053.243153200868
"2018","ACT",4056.591679130674
"2018","NSW",2519.994970283994
"2018","NT",5207.742366093776
"2018","QLD",5682.843917257341
"2018","SA",2866.9147494396807
"2018","TAS",444.03754899938104
"2018","VIC",6958.760421412895
"2018","WA",7270.7650466345185
"2019","ACT",3632.2340106401866
"2019","NSW",2402.776425259474
"2019","NT",5469.929237117971
"2019","QLD",5690.44229863761
"2019","SA",3294.470250339734
"2019","TAS",338.96940823728863
"2019","VIC",4289.21262037647
"2019","WA",7121.566795578556
"2020","ACT",3567.770422160157
"2020","NSW",3314.3412911619475
"2020","NT",5592.745462497266
"2020","QLD",4858.279858143848
"2020","SA",2813.9989369440837
"2020","TAS",2013.329644378131
"2020","VIC",3951.44387885677
"2020","WA",7162.011334244906
"2021","ACT",7064.019167266679
"2021","NSW",5128.795392268357
"2021","NT",5199.305826483527
"2021","QLD",5092.901758354499
"2021","SA",3193.106935755998
"2021","TAS",1891.1531174522368
"2021","VIC",5096.809300843556
"2021","WA",8217.552835130033
"2022","NSW",4186.392734851868
"2022","NT",4534.573392640517
"2022","QLD",4315.505812526769
"2022","SA",2852.800308881255
"2022","TAS",2020.0315740714482
"2022","VIC",5597.545453142427
"2022","WA",8375.724586595918
"2023","ACT",4236.339232100597
"2023","NSW",2985.892697513921
"2023","NT",5745.330078539588
"2023","QLD",4284.362350722659
"2023","SA",3093.9308795886145
"2023","TAS",3052.603912439455
"2023","VIC",5154.046330026759
"2023","WA",7830.913550171506
"2024","ACT",3992.229631777327
"2024","NSW",3009.6316613951285
"2024","NT",6296.349676371165
"2024","QLD",3860.904410336118
"2024","SA",2759.120159644835
"2024","TAS",3498.5584593709473
"2024","VIC",2967.8815564044075
"2024","WA",4467.343335024531
